<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190318,000000,1.1340800,1.1355900,1.1336900,1.1355900,3791000
20190319,000000,1.1348000,1.1358400,1.1345700,1.1352600,6547000
20190320,000000,1.1345900,1.1355000,1.1335100,1.1355000,3834000
20190321,000000,1.1417500,1.1425300,1.1381800,1.1381800,9357000
20190322,000000,1.1379200,1.1386300,1.1289500,1.1293500,5174000
20190325,000000,1.1300700,1.1319700,1.1294000,1.1307000,27527000
20190326,000000,1.1304300,1.1323300,1.1301900,1.1312000,4386000
20190327,000000,1.1261000,1.1283700,1.1246500,1.1280000,9332000
20190328,000000,1.1254600,1.1255000,1.1221500,1.1221500,8552000
20190329,000000,1.1229100,1.1234300,1.1206900,1.1225000,84146000
20190401,000000,1.1232000,1.1243000,1.1228100,1.1230500,6096000
20190402,000000,1.1195500,1.1203000,1.1190000,1.1200900,61605000
20190403,000000,1.1217100,1.1250000,1.1216000,1.1241500,6373000
20190404,000000,1.1235300,1.1242900,1.1220000,1.1220000,7696000
20190405,000000,1.1228000,1.1230300,1.1221000,1.1221300,13428000
20190408,000000,1.1225000,1.1248900,1.1220700,1.1241600,10130000
20190409,000000,1.1265100,1.1278900,1.1261700,1.1276900,8285000
20190410,000000,1.1269100,1.1278500,1.1260100,1.1278500,11162000
20190411,000000,1.1280700,1.1283100,1.1261000,1.1264000,10337000
20190412,000000,1.1284700,1.1316500,1.1277800,1.1305400,7544000
20190415,000000,1.1313000,1.1319000,1.1305500,1.1305500,8289000
20190416,000000,1.1309000,1.1311700,1.1284100,1.1302100,9248000
20190417,000000,1.1303000,1.1316000,1.1301700,1.1303200,19014000
20190418,000000,1.1292000,1.1295000,1.1242900,1.1248700,23607000
20190423,000000,1.1247000,1.1257100,1.1240000,1.1246700,11821000
20190424,000000,1.1204900,1.1219900,1.1198800,1.1207000,13150000
20190425,000000,1.1149700,1.1156500,1.1119500,1.1119500,20069000
20190426,000000,1.1140800,1.1143000,1.1130000,1.1136000,7206000
20190429,000000,1.1157800,1.1163700,1.1149700,1.1150000,16293000
20190430,000000,1.1182700,1.1214400,1.1180700,1.1212400,19584000
20190506,000000,1.1186100,1.1198500,1.1184600,1.1197000,9718000
20190507,000000,1.1208100,1.1213100,1.1183100,1.1183100,3153000
20190508,000000,1.1205000,1.1206600,1.1191000,1.1203000,13177000
20190513,000000,1.1229100,1.1239100,1.1221100,1.1226700,4492000
20190514,000000,1.1229500,1.1241400,1.1225000,1.1234000,8071000
20190515,000000,1.1201300,1.1215300,1.1177700,1.1177700,10676000
20190516,000000,1.1204300,1.1215000,1.1195000,1.1195000,9117000
20190517,000000,1.1176600,1.1180400,1.1157500,1.1157700,11084000
20190520,000000,1.1155900,1.1163700,1.1153000,1.1160600,8782000
20190521,000000,1.1148200,1.1156900,1.1140200,1.1144300,7263000
20190522,000000,1.1151500,1.1170500,1.1149100,1.1168500,11727000
20190523,000000,1.1139500,1.1143100,1.1127000,1.1133200,37481000
20190524,000000,1.1190400,1.1196400,1.1176500,1.1187300,9257000
20190528,000000,1.1184000,1.1195700,1.1175000,1.1190900,10509000
20190529,000000,1.1154000,1.1157300,1.1148200,1.1152000,5838000
20190530,000000,1.1130500,1.1139300,1.1123500,1.1133900,8193000
20190531,000000,1.1129700,1.1151400,1.1129700,1.1140000,6977000
20190603,000000,1.1163000,1.1185000,1.1162000,1.1180000,4389000
20190604,000000,1.1267500,1.1275000,1.1242000,1.1253000,5623000
20190605,000000,1.1259300,1.1286200,1.1253000,1.1253000,6402000
20190606,000000,1.1222100,1.1257100,1.1216000,1.1257100,8957000
20190607,000000,1.1263500,1.1267500,1.1251000,1.1267500,10690000
20190610,000000,1.1307600,1.1308000,1.1290000,1.1301000,9955000
20190611,000000,1.1315700,1.1330000,1.1306200,1.1306200,10148000
20190613,000000,1.1291400,1.1298100,1.1281000,1.1291500,10958000
20190614,000000,1.1274400,1.1286000,1.1250000,1.1256000,8875000
20190617,000000,1.1211000,1.1228000,1.1203600,1.1228000,11892000
20190618,000000,1.1236800,1.1238100,1.1181000,1.1186800,9825000
20190619,000000,1.1193000,1.1205700,1.1191100,1.1205000,7064000
20190620,000000,1.1271800,1.1311300,1.1267400,1.1301500,7039000
20190621,000000,1.1288100,1.1311600,1.1286000,1.1311600,7714000
20190624,000000,1.1380000,1.1394800,1.1370600,1.1394000,11654000
20190625,000000,1.1399000,1.1399000,1.1377400,1.1381200,8554000
20190626,000000,1.1357700,1.1367500,1.1350400,1.1361000,6843000
20190627,000000,1.1359100,1.1375000,1.1359000,1.1375000,4795000
20190628,000000,1.1375300,1.1388400,1.1373000,1.1373900,13967000
20190701,000000,1.1323000,1.1350000,1.1316700,1.1347000,11910000
20190702,000000,1.1290900,1.1317500,1.1283500,1.1294000,4256000
20190703,000000,1.1282200,1.1297900,1.1270800,1.1291600,7225000
20190705,000000,1.1270000,1.1271000,1.1253000,1.1256000,9024000
20190708,000000,1.1219600,1.1231900,1.1212500,1.1218200,12509000
20190709,000000,1.1207000,1.1210100,1.1192000,1.1199500,4219000
20190710,000000,1.1210100,1.1226500,1.1208600,1.1215500,7125000
20190711,000000,1.1268300,1.1274000,1.1261500,1.1265200,10601000
20190712,000000,1.1269100,1.1270600,1.1250400,1.1251700,9463000
20190715,000000,1.1272600,1.1280800,1.1269300,1.1274000,11345000
20190716,000000,1.1256000,1.1256000,1.1218000,1.1220000,4034000
20190717,000000,1.1203300,1.1217600,1.1203300,1.1214900,3534000
20190718,000000,1.1234700,1.1238700,1.1202600,1.1215000,19623000
20190719,000000,1.1256700,1.1261700,1.1228100,1.1231600,13998000
20190722,000000,1.1220000,1.1222700,1.1210700,1.1210700,8815000
20190723,000000,1.1188500,1.1215800,1.1171000,1.1171000,12586000
20190724,000000,1.1149400,1.1151000,1.1127900,1.1139000,8680000
20190725,000000,1.1128600,1.1141100,1.1112500,1.1112500,6029000
20190726,000000,1.1140300,1.1143000,1.1128000,1.1128200,3232000
